sl,Teams,Stadium,City,State,Date,Week Day,Time
1,Mumbai Indians (MI) Vs Chennai Super Kings (CSK),Wankhede Stadium,Mumbai,Maharashtra.,29 Mar 2020,Sunday,08:30 AM
2,Delhi Capitals (DC) Vs Kings XI Punjab (KXIP),Feroz Shah Kotla Stadium,Delhi,Delhi,30 Mar 2020,Monday,08:30 AM
3,Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR),M.Chinnaswamy Stadium,Bengaluru,Karnataka,31 Mar 2020,Tuesday,08:30 AM
4,Sun Risers Hyderabad (SRH) Vs Mumbai Indians (MI),R.G.I. Cricket Stadium,Hyderabad,Telangana.,01 Apr 2020,Wednesday,08:30 AM
5,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),M.A.Chidambaram Stadium,Chennai,Tamilnadu,02 Apr 2020,Thursday,08:30 AM
6,Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC),Eden Gardens Stadium,Kolkata,WB,03 Apr 2020,Friday,08:30 AM
7,Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH),PCA Stadium,Mohali,Punjab,04 Apr 2020,Saturday,08:30 AM
8,Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB),Wankhede Stadium,Mumbai,Maharashtra.,05 Apr 2020,Sunday,05:30 AM
9,Rajasthan Royals (RR) Vs Delhi Capitals (DC),Sawai Mansingh Stadium,Jaipur,Rajasthan,05 Apr 2020,Sunday,09:30 AM
10,Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK),Eden Gardens Stadium,Kolkata,WB,06 Apr 2020,Monday,09:30 AM
11,Royal Challengers Bangalore (RCB) Vs Sun Risers Hyderabad (SRH),Sheikh Zayed Cricket Stadium,Abu Dhabi,Abu Dhabi.,07 Apr 2020,Tuesday,09:30 AM
12,Kings XI Punjab (KXIP) Vs Mumbai Indians (MI),PCA Stadium,Mohali,Punjab,08 Apr 2020,Wednesday,09:30 AM
13,Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR),Sawai Mansingh Stadium,Jaipur,Rajasthan,09 Apr 2020,Thursday,05:30 AM
14,Delhi Capitals (DC) Vs Royal Challengers Bangalore (RCB),Feroz Shah Kotla Stadium,Delhi,Delhi,10 Apr 2020,Friday,09:30 AM
