sl,Teams,Stadium,City,State,Date,Week Day,Time
1,Mumbai Indians (MI) Vs Chennai Super Kings (CSK),Wankhede Stadium,Mumbai,Maharashtra.,29 Mar 2020,Sunday,07:00 PM
2,Delhi Capitals (DC) Vs Kings XI Punjab (KXIP),Feroz Shah Kotla Stadium,Delhi,Delhi,30 Mar 2020,Monday,07:00 PM
3,Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR),M.Chinnaswamy Stadium,Bengaluru,Karnataka,31 Mar 2020,Tuesday,07:00 PM
4,Sun Risers Hyderabad (SRH) Vs Mumbai Indians (MI),R.G.I. Cricket Stadium,Hyderabad,Telangana.,01 Apr 2020,Wednesday,07:00 PM
5,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),M.A.Chidambaram Stadium,Chennai,Tamilnadu,02 Apr 2020,Thursday,07:00 PM
6,Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC),Eden Gardens Stadium,Kolkata,WB,03 Apr 2020,Friday,07:00 PM
7,Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH),PCA Stadium,Mohali,Punjab,04 Apr 2020,Saturday,07:00 PM
8,Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB),Wankhede Stadium,Mumbai,Maharashtra.,05 Apr 2020,Sunday,03:00 PM
9,Rajasthan Royals (RR) Vs Delhi Capitals (DC),Sawai Mansingh Stadium,Jaipur,Rajasthan,05 Apr 2020,Sunday,07:00 PM
10,Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK),Eden Gardens Stadium,Kolkata,WB,06 Apr 2020,Monday,07:00 PM
11,Royal Challengers Bangalore (RCB) Vs Sun Risers Hyderabad (SRH),Sheikh Zayed Cricket Stadium,Abu Dhabi,Abu Dhabi.,07 Apr 2020,Tuesday,07:00 PM
12,Kings XI Punjab (KXIP) Vs Mumbai Indians (MI),PCA Stadium,Mohali,Punjab,08 Apr 2020,Wednesday,07:00 PM
13,Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR),Sawai Mansingh Stadium,Jaipur,Rajasthan,09 Apr 2020,Thursday,03:00 PM
14,Delhi Capitals (DC) Vs Royal Challengers Bangalore (RCB),Feroz Shah Kotla Stadium,Delhi,Delhi,10 Apr 2020,Friday,07:00 PM
15,Chennai Super Kings (CSK) Vs Kings XI Punjab (KXIP),M.A.Chidambaram Stadium,Chennai,Tamilnadu,11 Apr 2020,Saturday,07:00 PM
16,Sun Risers Hyderabad (SRH) Vs Rajasthan Royals (RR),R.G.I. Cricket Stadium,Hyderabad,Telangana.,12 Apr 2020,Sunday,03:00 PM
17,Kolkata Knight Riders (KKR) Vs Mumbai Indians (MI),Eden Gardens Stadium,Kolkata,WB,12 Apr 2020,Sunday,07:00 PM
18,Delhi Capitals (DC) Vs Chennai Super Kings (CSK),Feroz Shah Kotla Stadium,Delhi,Delhi,13 Apr 2020,Monday,07:00 PM
19,Kings XI Punjab (KXIP) Vs Royal Challengers Bangalore (RCB),PCA Stadium,Mohali,Punjab,14 Apr 2020,Tuesday,07:00 PM
20,Mumbai Indians (MI) Vs Rajasthan Royals (RR),Wankhede Stadium,Mumbai,Maharashtra.,15 Apr 2020,Wednesday,07:00 PM
21,Sun Risers Hyderabad (SRH) Vs Kolkata Knight Riders (KKR),R.G.I. Cricket Stadium,Hyderabad,Telangana.,16 Apr 2020,Thursday,07:00 PM
22,Kings XI Punjab (KXIP) Vs Chennai Super Kings (CSK),PCA Stadium,Mohali,Punjab,17 Apr 2020,Friday,07:00 PM
23,Royal Challengers Bangalore (RCB) Vs Rajasthan Royals (RR),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,18 Apr 2020,Saturday,07:00 PM
24,Delhi Capitals (DC) Vs Kolkata Knight Riders (KKR),Feroz Shah Kotla Stadium,Delhi,Delhi,19 Apr 2020,Sunday,03:00 PM
25,Chennai Super Kings (CSK) Vs Sun Risers Hyderabad (SRH),M.A.Chidambaram Stadium,Chennai,Tamilnadu,19 Apr 2020,Sunday,07:00 PM
26,Mumbai Indians (MI) Vs Kings XI Punjab (KXIP),Wankhede Stadium,Mumbai,Maharashtra.,20 Apr 2020,Monday,07:00 PM
27,Rajasthan Royals (RR) Vs Sun Risers Hyderabad (SRH),Sawai Mansingh Stadium,Jaipur,Rajasthan,21 Apr 2020,Tuesday,07:00 PM
28,Royal Challengers Bangalore (RCB) Vs Delhi Capitals (DC),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,22 Apr 2020,Wednesday,07:00 PM
29,Kolkata Knight Riders (KKR) Vs Kings XI Punjab (KXIP),Eden Gardens Stadium,Kolkata,WB,23 Apr 2020,Thursday,07:00 PM
30,Chennai Super Kings (CSK) Vs Mumbai Indians (MI),M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,24 Apr 2020,Friday,07:00 PM
31,Rajasthan Royals (RR) Vs Royal Challengers Bangalore (RCB),Sawai Mansingh Stadium,Jaipur,Rajasthan,25 Apr 2020,Saturday,07:00 PM
32,Kings XI Punjab (KXIP) Vs Kolkata Knight Riders (KKR),PCA Stadium,Mohali,Punjab,26 Apr 2020,Sunday,03:00 PM
33,Sun Risers Hyderabad (SRH) Vs Delhi Capitals (DC),R.G.I. Cricket Stadium,Hyderabad,Telangana.,26 Apr 2020,Sunday,07:00 PM
34,Chennai Super Kings (CSK) Vs Royal Challengers Bangalore (RCB),M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,27 Apr 2020,Monday,07:00 PM
35,Mumbai Indians (MI) Vs Kolkata Knight Riders (KKR),Wankhede Stadium,Mumbai,Maharashtra.,28 Apr 2020,Tuesday,07:00 PM
36,Rajasthan Royals (RR) Vs Kings XI Punjab (KXIP),Sawai Mansingh Stadium,Jaipur,Rajasthan,29 Apr 2020,Wednesday,07:00 PM
37,Sun Risers Hyderabad (SRH) Vs Chennai Super Kings (CSK),R.G.I. Cricket Stadium,Hyderabad,Telangana.,30 Apr 2020,Thursday,07:00 PM
38,Mumbai Indians (MI) Vs Delhi Capitals (DC),Wankhede Stadium,Mumbai,Maharashtra.,01 May 2020,Friday,07:00 PM
39,Kolkata Knight Riders (KKR) Vs Rajasthan Royals (RR),Eden Gardens Stadium,Kolkata,WB,02 May 2020,Saturday,07:00 PM
40,Royal Challengers Bangalore (RCB) Vs Kings XI Punjab (KXIP),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,03 May 2020,Sunday,03:00 PM
41,Delhi Capitals (DC) Vs Sun Risers Hyderabad (SRH),Feroz Shah Kotla Stadium,Delhi,Delhi,03 May 2020,Sunday,07:00 PM
42,Rajasthan Royals (RR) Vs Chennai Super Kings (CSK),Sawai Mansingh Stadium,Jaipur,Rajasthan,04 May 2020,Monday,07:00 PM
43,Sun Risers Hyderabad (SRH) Vs Royal Challengers Bangalore (RCB),R.G.I. Cricket Stadium,Hyderabad,Telangana.,05 May 2020,Tuesday,07:00 PM
44,Delhi Capitals (DC) Vs Mumbai Indians (MI),Feroz Shah Kotla Stadium,Delhi,Delhi,06 May 2020,Wednesday,07:00 PM
45,Chennai Super Kings (CSK) Vs Kolkata Knight Riders (KKR),M.A.Chidambaram Stadium,Chennai,Tamilnadu,07 May 2020,Thursday,07:00 PM
46,Kings XI Punjab (KXIP) Vs Rajasthan Royals (RR),PCA Stadium,Mohali,Punjab,08 May 2020,Friday,07:00 PM
47,Mumbai Indians (MI) Vs Sun Risers Hyderabad (SRH),Wankhede Stadium,Mumbai,Maharashtra.,09 May 2020,Saturday,07:00 PM
48,Chennai Super Kings (CSK) Vs Delhi Capitals (DC),M.A.Chidambaram Stadium,Chennai,Tamilnadu,10 May 2020,Sunday,03:00 PM
49,Kolkata Knight Riders (KKR) Vs Royal Challengers Bangalore (RCB),Eden Gardens Stadium,Kolkata,WB,10 May 2020,Sunday,07:00 PM
50,Rajasthan Royals (RR) Vs Mumbai Indians (MI),Sawai Mansingh Stadium,Jaipur,Rajasthan,11 May 2020,Monday,07:00 PM
51,Sun Risers Hyderabad (SRH) Vs Kings XI Punjab (KXIP),R.G.I. Cricket Stadium,Hyderabad,Telangana.,12 May 2020,Tuesday,07:00 PM
52,Delhi Capitals (DC) Vs Rajasthan Royals (RR),Feroz Shah Kotla Stadium,Delhi,Delhi,13 May 2020,Wednesday,07:00 PM
53,Royal Challengers Bangalore (RCB) Vs Chennai Super Kings (CSK),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,14 May 2020,Thursday,07:00 PM
54,Kolkata Knight Riders (KKR) Vs Sun Risers Hyderabad (SRH),Eden Gardens Stadium,Kolkata,WB,15 May 2020,Friday,07:00 PM
55,Kings XI Punjab (KXIP) Vs Delhi Capitals (DC),PCA Stadium,Mohali,Punjab,16 May 2020,Saturday,07:00 PM
56,Royal Challengers Bangalore (RCB) Vs Mumbai Indians (MI),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,17 May 2020,Sunday,07:00 PM
57,Qualifier-1,Eden Gardens,Kolkata,West Bengal.,TBD,TBD,8:00 PM
58,Eliminator,M.Chinnaswamy Stadium,Bengaluru,Karnataka.,TBD,TBD,8:00 PM
59,Qualifier-2,M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,TBD,TBD,8:00 PM
60,FINAL,Wankhede Stadium,Mumbai,Maharashtra,24 May 2020,Sunday,07:00 PM
