sl,Teams,Stadium,City,State,Date,Week Day,Time
1,Mumbai Indians (MI) Vs Chennai Super Kings (CSK),Wankhede Stadium,Mumbai,Maharashtra.,30 Mar 2020,Monday,03:30 AM
2,Delhi Capitals (DC) Vs Kings XI Punjab (KXIP),Feroz Shah Kotla Stadium,Delhi,Delhi,31 Mar 2020,Tuesday,03:30 AM
3,Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR),M.Chinnaswamy Stadium,Bengaluru,Karnataka,01 Apr 2020,Wednesday,03:30 AM
4,Sun Risers Hyderabad (SRH) Vs Mumbai Indians (MI),R.G.I. Cricket Stadium,Hyderabad,Telangana.,02 Apr 2020,Thursday,03:30 AM
5,Chennai Super Kings (CSK) Vs Rajasthan Royals (RR),M.A.Chidambaram Stadium,Chennai,Tamilnadu,03 Apr 2020,Friday,03:30 AM
6,Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC),Eden Gardens Stadium,Kolkata,WB,04 Apr 2020,Saturday,03:30 AM
7,Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH),PCA Stadium,Mohali,Punjab,05 Apr 2020,Sunday,02:30 AM
8,Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB),Wankhede Stadium,Mumbai,Maharashtra.,05 Apr 2020,Sunday,10:30 PM
9,Rajasthan Royals (RR) Vs Delhi Capitals (DC),Sawai Mansingh Stadium,Jaipur,Rajasthan,06 Apr 2020,Monday,02:30 AM
10,Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK),Eden Gardens Stadium,Kolkata,WB,07 Apr 2020,Tuesday,02:30 AM
11,Royal Challengers Bangalore (RCB) Vs Sun Risers Hyderabad (SRH),Sheikh Zayed Cricket Stadium,Abu Dhabi,Abu Dhabi.,08 Apr 2020,Wednesday,02:30 AM
12,Kings XI Punjab (KXIP) Vs Mumbai Indians (MI),PCA Stadium,Mohali,Punjab,09 Apr 2020,Thursday,02:30 AM
13,Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR),Sawai Mansingh Stadium,Jaipur,Rajasthan,09 Apr 2020,Thursday,10:30 PM
14,Delhi Capitals (DC) Vs Royal Challengers Bangalore (RCB),Feroz Shah Kotla Stadium,Delhi,Delhi,11 Apr 2020,Saturday,02:30 AM
15,Chennai Super Kings (CSK) Vs Kings XI Punjab (KXIP),M.A.Chidambaram Stadium,Chennai,Tamilnadu,12 Apr 2020,Sunday,02:30 AM
16,Sun Risers Hyderabad (SRH) Vs Rajasthan Royals (RR),R.G.I. Cricket Stadium,Hyderabad,Telangana.,12 Apr 2020,Sunday,10:30 PM
17,Kolkata Knight Riders (KKR) Vs Mumbai Indians (MI),Eden Gardens Stadium,Kolkata,WB,13 Apr 2020,Monday,02:30 AM
18,Delhi Capitals (DC) Vs Chennai Super Kings (CSK),Feroz Shah Kotla Stadium,Delhi,Delhi,14 Apr 2020,Tuesday,02:30 AM
19,Kings XI Punjab (KXIP) Vs Royal Challengers Bangalore (RCB),PCA Stadium,Mohali,Punjab,15 Apr 2020,Wednesday,02:30 AM
20,Mumbai Indians (MI) Vs Rajasthan Royals (RR),Wankhede Stadium,Mumbai,Maharashtra.,16 Apr 2020,Thursday,02:30 AM
21,Sun Risers Hyderabad (SRH) Vs Kolkata Knight Riders (KKR),R.G.I. Cricket Stadium,Hyderabad,Telangana.,17 Apr 2020,Friday,02:30 AM
22,Kings XI Punjab (KXIP) Vs Chennai Super Kings (CSK),PCA Stadium,Mohali,Punjab,18 Apr 2020,Saturday,02:30 AM
23,Royal Challengers Bangalore (RCB) Vs Rajasthan Royals (RR),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,19 Apr 2020,Sunday,02:30 AM
24,Delhi Capitals (DC) Vs Kolkata Knight Riders (KKR),Feroz Shah Kotla Stadium,Delhi,Delhi,19 Apr 2020,Sunday,10:30 PM
25,Chennai Super Kings (CSK) Vs Sun Risers Hyderabad (SRH),M.A.Chidambaram Stadium,Chennai,Tamilnadu,20 Apr 2020,Monday,02:30 AM
26,Mumbai Indians (MI) Vs Kings XI Punjab (KXIP),Wankhede Stadium,Mumbai,Maharashtra.,21 Apr 2020,Tuesday,02:30 AM
27,Rajasthan Royals (RR) Vs Sun Risers Hyderabad (SRH),Sawai Mansingh Stadium,Jaipur,Rajasthan,22 Apr 2020,Wednesday,02:30 AM
28,Royal Challengers Bangalore (RCB) Vs Delhi Capitals (DC),M.Chinnaswamy Stadium,Bengaluru,Karnataka.,23 Apr 2020,Thursday,02:30 AM
29,Kolkata Knight Riders (KKR) Vs Kings XI Punjab (KXIP),Eden Gardens Stadium,Kolkata,WB,24 Apr 2020,Friday,02:30 AM
30,Chennai Super Kings (CSK) Vs Mumbai Indians (MI),M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,25 Apr 2020,Saturday,02:30 AM
31,Rajasthan Royals (RR) Vs Royal Challengers Bangalore (RCB),Sawai Mansingh Stadium,Jaipur,Rajasthan,26 Apr 2020,Sunday,02:30 AM
32,Kings XI Punjab (KXIP) Vs Kolkata Knight Riders (KKR),PCA Stadium,Mohali,Punjab,26 Apr 2020,Sunday,10:30 PM
33,Sun Risers Hyderabad (SRH) Vs Delhi Capitals (DC),R.G.I. Cricket Stadium,Hyderabad,Telangana.,27 Apr 2020,Monday,02:30 AM
34,Chennai Super Kings (CSK) Vs Royal Challengers Bangalore (RCB),M.A.Chidambaram Chepauk Stadium,Chennai,Tamilnadu.,28 Apr 2020,Tuesday,02:30 AM
35,Mumbai Indians (MI) Vs Kolkata Knight Riders (KKR),Wankhede Stadium,Mumbai,Maharashtra.,29 Apr 2020,Wednesday,02:30 AM
36,Rajasthan Royals (RR) Vs Kings XI Punjab (KXIP),Sawai Mansingh Stadium,Jaipur,Rajasthan,30 Apr 2020,Thursday,02:30 AM
