sl,Teams,Stadium,City,State,Date,Week Day,Time
1,"Mumbai Indians (MI) Vs Chennai Super Kings (CSK)","Wankhede Stadium","Mumbai","Maharashtra.","29 March 2020","Sunday","8:00 PM"
2,"Delhi Capitals (DC) Vs Kings XI Punjab (KXIP)","Feroz Shah Kotla Stadium","Delhi","Delhi","30 March 2020","Monday","8:00 PM"
3,"Royal Challengers Bangalore (RCB) Vs Kolkata Knight Riders (KKR)","M.Chinnaswamy Stadium","Bengaluru","Karnataka","31 March 2020","Tuesday","8:00 PM"
4,"Sun Risers Hyderabad (SRH) Vs Mumbai Indians (MI)","R.G.I. Cricket Stadium","Hyderabad","Telangana.","1 April 2020","Wednesday","8:00 PM"
5,"Chennai Super Kings (CSK) Vs Rajasthan Royals (RR)","M.A.Chidambaram Stadium","Chennai","Tamilnadu","2 April 2020","Thursday","8:00 PM"
6,"Kolkata Knight Riders (KKR) Vs Delhi Capitals (DC)","Eden Gardens Stadium","Kolkata","WB","3 April 2020","Thursday","8:00 PM"
7,"Kings XI Punjab (KXIP) Vs Sun Risers Hyderabad (SRH)","PCA Stadium","Mohali","Punjab","4 April 2020","Saturday","8:00 PM"
8,"Mumbai Indians (MI) Vs Royal Challengers Bangalore (RCB)","Wankhede Stadium","Mumbai","Maharashtra.","5 April 2020","Sunday","4:00 PM"
9,"Rajasthan Royals (RR) Vs Delhi Capitals (DC)","Sawai Mansingh Stadium","Jaipur","Rajasthan","5 April 2020","Sunday","8:00 PM"
10,"Kolkata Knight Riders (KKR) Vs Chennai Super Kings (CSK)","Eden Gardens Stadium","Kolkata","WB","6 April 2020","Monday","8:00 PM"
11,"Royal Challengers Bangalore (RCB) Vs Sun Risers Hyderabad (SRH)","Sheikh Zayed Cricket Stadium","Abu Dhabi","Abu Dhabi.","7 April 2020","Tuesday","8:00 PM"
12,"Kings XI Punjab (KXIP) Vs Mumbai Indians (MI)","PCA Stadium","Mohali","Punjab","8 April 2020","Wednesday","8:00 PM"
13,"Rajasthan Royals (RR) Vs Kolkata Knight Riders (KKR)","Sawai Mansingh Stadium","Jaipur","Rajasthan","9 April 2020","Thursday","4:00 PM"
14,"Delhi Capitals (DC) Vs Royal Challengers Bangalore (RCB)","Feroz Shah Kotla Stadium","Delhi","Delhi","10 April 2020","Friday","8:00 PM"
15,"Chennai Super Kings (CSK) Vs Kings XI Punjab (KXIP)","M.A.Chidambaram Stadium","Chennai","Tamilnadu","11 April 2020","Saturday","8:00 PM"
16,"Sun Risers Hyderabad (SRH) Vs Rajasthan Royals (RR)","R.G.I. Cricket Stadium","Hyderabad","Telangana.","12 April 2020","Sunday","4:00 PM"
17,"Kolkata Knight Riders (KKR) Vs Mumbai Indians (MI)","Eden Gardens Stadium","Kolkata","WB","12 April 2020","Sunday","8:00 PM"
